ru;en;kcal;catRu;catEn;gr
Ягненок Тушеный с Луком;Stewed Lamb with Onions;260;Горячее;Main Courses;
Ягненок Тушеный с Овощами;Lamb Stew with Vegetables;150;Горячее;Main Courses;150
Ягодное Ассорти;Berry Assortment;35;Завтрак;Breakfast;45
Ягоды;Berries;50;Завтрак;Breakfast;75
Язык Телячий Отварной;Boiled Veal Tongue;160;Горячее;Main Courses;
Язык Телячий с Брокколи;Veal Tongue with Broccoli;200;Гарнир;Side Dishes;131
Язык Телячий с Луком;Veal Tongue with Onions;160;Горячее;Main Courses;150
Язык Телячий Тушеный с Луком;Stewed Veal Tongue with Onion;190;Горячее;Main Courses;
Язычки Ягненка с Луком;Lamb Tongues with Onions;210;Горячее;Main Courses;
Яичница;Fried Eggs;170;Завтрак;Breakfast;100
Яичница Глазунья;Fried Eggs;170;Завтрак;Breakfast;100
Яичница Глазунья с Сосисками;Fried Eggs with Sausages;220;Завтрак;Breakfast;
Яичница Двухсторонняя;Two-Sided Fried Eggs;170;Завтрак;Breakfast;80
Яичница из Перепелиных Яиц;Fried Quail Eggs;126;Завтрак;Breakfast;100
Яичница по-Ташкентски;Tashkent-Style Fried Eggs;180;Завтрак;Breakfast;150
Яичница с Помидорами;Fried Eggs with Tomatoes;125;Завтрак;Breakfast;120
Яйца Бенедикт с Лососем;Eggs Benedict with Salmon;250;Завтрак;Breakfast;
Яйцо 5 минут;5-minute Egg;160;Завтрак;Breakfast;120
Яйцо Отварное;Boiled Egg;155;Завтрак;Breakfast;80
Яйцо Отварное (1 штука);Boiled Egg (1 piece);70;Завтрак;Breakfast;
Яйцо Пашот на Тосте;Poached Egg on Toast;160;Завтрак;Breakfast;
Яйцо Пашот со Спаржей;Poached Egg with Asparagus;90;Завтрак;Breakfast;150
Яйцо Пашот со Шпинатом;Poached Egg with Spinach;110;Завтрак;Breakfast;90
Яйцо Фаршированное Печенью Трески;Deviled Egg with Cod Liver;260;Закуска;Starters;100
Салат со Cвеклой по-Грузински;Georgian Style Beet Salad;117;Салаты;Salads;150
Зеленый Микс-Салат;Green Mixed Salad;35;Салаты;Salads;150
Айва Запечённая с Орехами и Мёдом;Baked Quince with Nuts and Honey;77;Завтрак;Breakfast;100
Суп из Кролика;Rabbit Soup;66;Супы;Soups;200
Филе Сёмги на Пару;Steamed Salmon Fillet;150;Горячее;Main Courses;150
Курица с Рисом по-Азиатски;Asian Style Chicken with Rice;113;Горячее;Main Courses;150
Жаркое по-Ташкентски с Макаронами;Tashkent-Style Stew with Pasta;260;Горячее;Main Courses;150
Салат с Вяленой Свеклой и Козьим Сыром;Salad with Dried Beets and Goat Cheese;120;Салаты;Salads;150
Творожный Мусс с Ягодами;Curd Mousse with Berries;97;Завтрак;Breakfast;100
Ребра Ягнёнка Томленые;Stewed Lamb Ribs;150;Горячая Закуска;Hot Starters;250
Чечевичный Суп с Телятиной;Lentil Soup with Veal;180;Супы;Soups;200
Пюре из Сельдерея;Celery Puree;40;Гарнир;Side Dishes;100
Салат с Морской Капустой и Морковью;Seaweed and Carrot Salad;74;Салаты;Salads;150
Куриный Суп с Фрикадельками;Chicken Soup with Meatballs;60;Супы;Soups;200
Айвар;Ajvar;80;Завтрак;Breakfast;50
Микс-Салат с Песто;Mix Salad with Pesto;50;Закуска;Starters;150
Рыбные Тефтели в Томатном Соусе;Fish Meatballs in Tomato Sauce;81;Горячее;Main Courses;150
Тартар из Печёных Овощей;Roasted Vegetable Tartare;90;Гарнир;Side Dishes;100
Сибас Запеченный с Цукини;Sea Bass Baked with Zucchini;70;Горячее;Main Courses;150
Молодая Спаржа на Пару;Steamed Young Asparagus;23;Гарнир;Side Dishes;100
Орзо;Orzo;360;Гарнир;Side Dishes;100
Язык Гриль с Соусом из Хрена;Grilled Tongue with Horseradish Sauce;180;Горячая Закуска;Hot Starters;150
Боул Фруктовый с Кокосовым Йогуртом;Fruit Bowl with Coconut Yogurt;75;Завтрак;Breakfast;120
Каша с Чиа и Семенами Льна;Porridge with Chia and Flax Seeds;48;Завтрак;Breakfast;150
Салат с Артишоками и Красной Фасолью;Artichokes and Red Beans Salad;90;Салаты;Salads;150
Салат Чука;Chuka Salad;140;Салаты;Salads;150
Сибас в Кисло-Сладком Соусе;Sea Bass in Sweet and Sour Sauce;170;Горячее;Main Courses;150
Бедро Цыплёнка Терияки;Teriyaki Chicken Thigh;157;Горячее;Main Courses;150
Оладьи из Шпината;Spinach Pancakes;38;Завтрак;Breakfast;80
Мини Романо с Тунцом;Mini Romano with Tuna;44;Завтрак;Breakfast;40
